번호,문제,답
35,"지혜의  인간을  호모사피엔스,  놀이를  즐기는  인간을  호모루덴스라고  한다.  디지털  기기를  사용하는  인간을  호모  디지쿠
스라고  한다.  그러면  휴대전화를  하는  인간으로  스마트폰을  생활화한  인류를  무엇이라고  할까?",호모  모빌리티쿠스
36,"수학계의  노벨상은  필즈상,  언론계의  노벨상은  퓰리처상이라고  한다.  컴퓨터과학계의  노벨상은  무엇일까?",튜링상
37,"사용자가  직접  제작한  콘텐츠를  일컫는  말로,  텍스트,  이미지,  오디오로도  제작이  가능하지만  가장  많이  제작되는  있는
것은  동영상이다.  무엇인가?",UCC(User  Created  Contents)
38,금융(Financial)과  기술(Technique)의  합성어?,핀테크(FinTech)
39,"온라인  인맥구축  서비스을  일컫는  말로  사용자  간의  자유로운  의사  소통과  정보  공유,  그리고  인맥  확대  등을  통해  사회
적  관계를  생성하고  강화시켜주는  온라인  플랫폼이다.  Twitter,  Facebook,  LinkedIn,  Instagram,  Pinterest  등이  있다.  무엇
인가?",소셜  네트워크  서비스(SNS)
40,"인터넷에서  모든  정보를  볼  수  있게  응용  프로그램을  (                 )  이라고  부르며,  이것의  종류에는  익스플로러,  크롬,  파이 어폭스,  오페라  등이  있다.",(웹)브라우저
41,"인터넷에  접속된  각  컴퓨터는  숫자로  구성된  (      )  주소를  사용하여  구별할  수  있다.  이것을  사람들이  기억하기  쉽게  문
자로  만든  것이  도메인(domain)  주소  이다.",IP
42,웹  문서를  만들기  위하여  사용하는  기본적인  웹  언어인  (         )은  하이퍼텍스트를  작성하기  위해  개발되었다.,HTML
43,"무상으로  공개된  소스코드를  뜻하는  (              )는  소스코드를  누구나  무료로  이용할  수  있고,  수정하여  다시  배포할  수도
있다.",오픈  소스(open  source)
44,텍스트를  음성으로  변환하는  것을  (         )이라고  한다.,TTX(Text  to  Speech)
45,인간이  가지고  있는  유전체의  모든  염기서열을  해석하기  위한  프로젝트?,(인간)  게놈  프로젝트
46,"나와  생각이  맞는  사람,  의사소통이  가능한  사람,  정보  교환이  가능한  사람을  보통  ""나랑  (         )가  잘  맞다""로  말한다.",코드
47,"대학  교육을  SW중심으로  혁신함으로써,  학생?기업?사회의  SW경쟁력을  강화하고,  진정한  SW가치  확산을  실현하는  대학
을  목적으로  현재  우리  대학에서  진행하고  있는  사업의  이름은?",소프트웨어  중심대학
48,우리  대학의  웹사이트는  주소는?,www.hallym.ac.kr
49,"(                 )시스템은  우리  대학의  학생들이  스마트한  캠퍼스  생활을  즐길  수  있도록  구축되었다.  모바일  ID를  통해  강의
출결이  가능할뿐만  아니라  도서관  이용,  학생  생활관  출입,  교내  편의시설을  쉽게  이용할  수  있다.",(한림대학교)  스마트  모빌리티
50,현실의  이미지나  배경에  3차원  가상이미지를  겹쳐서  하나의  영상으로  보여주는  기술,"AR  ,  증강현실"
51,"특정한  환경이나  생활을  컴퓨터로  만들어서  그것을  사용하는  사람이  실제  주변  상황이나  환경과  상호작용을  하는것  처
럼  만드는  인간  컴퓨터  사이의  인터페이스","VR  ,가상현실"
52,"전자기기들이  무선랜(WLAN)에  연결할  수  있게  하는  기술로  대역  내에  위치한  어느  장치라도  무선랜  네트워크의  자원에
접근할  수  있도록  개방도  가능하다.","와이파이  ,  wifi"
53,"소규모  데이터들이  P2P  방식을  기반으로  생성된  체인  형태의  연결고리  기반  분산  데이터  저장환경에  저장되어  누구라
도  임의로  수정할  수  없고  누구나  변경의  결과를  열람할  수  있는  분산  컴퓨팅  기술  기반의  데이터  대변  방지  기술",블록체인
54,"시스템에  의해  만들어진  지능,  즉  인공적인  지능을  뜻하는  말은",인공지능
55,"다중접속  역할  수행  게임은  한명  이상의  플레이어가  인터넷을  통해  모두  같은  가상  공간에서  즐길  수  있는  롤플레잉  게
임(RPG)의  일종이다.",MMORPG
56,블록체인  기술을  기반으로  만들어진  온라인  암호화폐로  BTC  또는  XBT로  표시하는  것은,비트코인
57,대표적인  입력장치로  쥐와  생김새가  비슷하게  생겨서  이름  붙여진  장치는,마우스
58,인터넷상에  저장  공간을  확보하여  이용하는  서비스를  일컷는말은?,"웹하드  ,웹드라이브"
59,"사용자가  호스트  컴퓨터나  네트워크에  자신의  아이디(ID)와  암호를  입력해서  자신을  알리고  등록하여  호스트  컴퓨터의
사용  권한을  받아  접속하는  작업을  말한다",로그인
60,"전자  서명의  검증에  필요한  공개  키(전자서명법에는  전자서명검증정보로  표기)에  소유자  정보를  추가하여  만든  일종의
전자  신분증(증명서)이다.",공인인증서
61,"모든  컴퓨터를  하나의  통신망  안에  연결하고자  하는  의도에서  만들어진  이름으로  컴퓨터를  연결하여  TCP/IP  통신프로
토콜을  이용해  정보를  주고받는  네트워크를  일컷는  말을  무엇이라고  하는가",인터넷
62,어떠한  문제를  해결하기  위해  정해진  일련의  절차나  방법을  공식화한  형태로  표현한  것을  무엇이라고  하는가,알고리즘
63,컴퓨터에서  연산및  제어를  처리하는  장치는?,"중앙처리장치  ,  CPU"
64,소스  코드를  공개해  누구나  특별한  제한  없이  그  코드를  보고  사용할  수  있는  소프트웨어를  무엇이라고  하는가,"오픈소스소프트웨어  ,  OSS"
65,windows와  같이  컴퓨터를  동작할  수  있게  해주는  (소프트웨어)프로그램을  무엇이라고  하는가?,"운영체제  ,   OS   ,Operating  System"
66,인터넷익스플로러나  크롬과  같이  인터넷  검색을  하기위해  사용하는  프로그램을  일컷는  말은?,웹브라우저
67,스티브  잡스가  설립한  컴퓨터  회사로  최초의  GUI  기반의  운영체제를  설치해  개인용  PC  판매한  회사는?,애플
68,구글  안드로이드  폰에서  사용되는  소프트웨어를  개발하기  위한  언어,자바
69,"해킹을  하는  사람이라는  뜻으로,  컴퓨터  전반,  특히  정보  보안에  능통한  전문가를  가리킨다.",해커
70,인터넷에서  연결된  사용자들이  서로의  정보를  공유할  수  있는  공간,"월드와이드웹  ,  웹  ,www"
71,바이러스를  탐지하고  차료하는  프로그램을  무엇이라고  하는가,백신프로그램
72,스스로를  복제하여  컴퓨터를  감염시키는  컴퓨터  프로그램을  무엇이라고  하는가,바이러스
73,수를  시각적으로  사용하는  방법으로  사람이  사용하는  진법은  10진수이다.  컴퓨터가  사용하는  진법은?,2진법
74,"사용자  간의  자유로운  의사소통과  정보  공유,  그리고  인맥  확대  등을  통해  사회적  관계를  생성하고  강화해주는  온라인
플랫폼을  의미를  일컷는  말은?","SNS  ,   소셜네트워크서비스"
75,"특별한  지식을  소유한  사람들을  제외하고는  누구든지  읽어볼  수  없도록  알고리즘을  이용하여  정보(평문을  가리킴)를  전
달하는  과정이다.",암호화
76,"전자적  증거물  등을  사법기관에  제출하기  위해  데이터를  수집,  분석,  보고서를  작성하는  일련의  작업을  말한다.","컴퓨터포렌식  ,  디지털포렌식"
77,"클라이언트에게  네트워크를  통해  정보나  서비스를  제공하는  컴퓨터(server  computer)  또는  프로그램(server  program)을
말한다",서버
78,역사상  최초의  프로그래머로  알려진  사람은,"에이다  러브레이스  ,  에이다"
79,컴퓨터  프로그래밍을  하고  컴퓨터  소프트웨어를  개발하는  사람을  말한다.,프로그래머
80,"현재  대한민국에서  가장  많은  사람들이  사용하는  인터넷  포털  사이트이다.  초록색과  하얀색  검색창으로  널리  알려져  있
는  사이트는?",네이버
81,컴퓨터  통신망(주로  인터넷)을  통해  편지를  주고  받을  수  있는  시스템과  해당  편지를  일컫는다,"이메일  ,  전자우편"
82,"컴퓨터(사람이나  기계)가  효과적으로  수행할  수  있도록  문제를  정의하고  그에  대한  답을  기술하는  것이  포함된  사고  과
정  일체를  일컫는다",컴퓨팅사고
83,"각종  사물에  센서와  통신  기능을  내장하여  인터넷에  연결하는  기술.  즉,  무선  통신을  통해  각종  사물을  연결하는  기술을
의미한다.","사물인터넷  ,  IoT"
84,"구글(Google)의  딥마인드(DeepMind  Technologies  Limited)가  개발한  인공지능(AI,  Artificial  Intelligence)  바둑  프로그램
이다.",알파고
85,"통상적으로  사용되는  데이터  수집,  관리  및  처리  소프트웨어의  수용  한계를  넘어서는  크기의  데이터를  말한다",빅데이터
86,"전자  우편,  게시판,  문자  메시지,  전화,  인터넷  포털  사이트의  쪽지  기능등을  통해  불특정  다수의  사람들에게  보내는  광
고성  편지  또는  메시지를  말한다.",스팸
87,"3차원  영상으로  된  입체  사진으로,  홀로그래피의  원리를  이용하여  만들어진다.  즉,  입체상을  재현하는  간섭  줄무늬를  기
록한  매체이다.",홀로그램
88,"창작물을  만든이(저작자)가  자기  저작물에  대해  가지는  배타적인  법적  권리로,  대부분의  국가에서  인정되는  권리이다","저작권  ,  카피라잇  ,  copyright"
89,동영상  플랫폼인  유튜브에  정기적  또는  비정기적으로  동영상을  올리는  사람을  말한다.,유투버
90,컴퓨터  시스템은  하드웨어와  (                )로  구성된다.,소프트웨어
91,C와  자바같이  컴퓨터  프로그램을  작성하기  위해  사용하는  언어를  (            )  라고한다.,프로그래밍  언어
92,주어진  문제를  해결하기  위한  일련의  절차를  (                          )라고  한다.,알고리즘
93,스마트폰에서  동작하는  프로그램을  (           )  이라고  한다.,앱
94,저장장치에  저장된  특정한  목적의  하나  또는  다수의  컴퓨터  프로그램을  (                         )  이라고  한다.,소프트웨어
95,총장님의  존함은?,김중수
96,한림대학교  다비스상의  위치는,도서관  정문  입구
97,한림대학교에서  가장  오래된  건물,공학관
98,CLC는  무엇의  약자일까요,Campus  life  center
99,학생식당은  CLC  몇층에  위치해있을까요,2층
100,컴퓨터는  OOOO와  소프트웨어로  구성된다.  OOOO은  무엇인가?,하드웨어
101,컴퓨터의  기억을  담당하는  하드웨어의  이름은?,memory  또는  메모리
102,"플래시  메모리,  하드디스크,  디스켓,  USB  메모리  등으로  분류되는  장치의  이름은?",보조기억  장치
103,2의보수에서  N비트  signed  정수  표현  범위는  -128  ~  127이다.  이때   N의  값은?,8
104,16진수를  뜻하는  3글자의  약어?,HEX
105,통신을  위해  컴퓨터  또는  단말들을  서로  연결하여  만든  망을  무엇이라고  하는가?,네트워크
106,이  문장은  Loop  문에서  만나면  돌던  Loop를  멈추고  나간다.  이  명령어는?,continue
107,파이썬은  OOOO  언어이다.  OOOO은?,객체지향
108,파이썬에서  나머지를  계산하는  연산자는?,%
109,여러  개의  네트워크를  상호  연결한  네트워크는?,인터넷
110,정보  표현의  최소  단위는?,bit  또는  비트
111,불의의  사고로  인한  데이터의  손상과  파괴를  막기  위해  파일을  복사하여  다른  곳에  보존하는  보호방법의  이름은?,백업
112,파이썬에서  수학관련  및  과학  연산  모듈  중  다차원  배열을  처리하기  위해  자주  쓰는  모듈은?,"Numpy  또는  NumPy,  numpy"
113,HTML  웹  표준으로  문서를  작성하여  HTTP를  통해  송수신  호스트  간에  전송하는  기술?,월드  와이드  웹  또는  WWW
114,"근거리  무선  통신  산업  표준으로  2.4~2.485GHz의  단파  UHF(울트라  하이  프리퀀시)  전파를  사용한  짧은  거리의  통신  방
식  규정으로  개인용  장치에  마우스,  키보드,  휴대전화,  스피커  등을  주로  연결한다.",블루투스
115,컴퓨터의  두뇌라고  하는  하드웨어의  이름은?,CPU
116,문자를  표현하는  가장  작은  단위로  8개의  비트로  구성된  단위는?,byte  또는  바이트
117,"신세대  보조기억장치로  플래시  메모리로  구성되었으며,  입출력  속도가  하드디스크보도  매우  빠른  이  장치는?",SSD  또는  스스디
118,주변장치  중  화면의  특정  위치를  지정하거나  선택하기  위해  사용하는  입력장치는?,마우스
119,01100110을  10진수로  바꾸면?,102
120,파이썬에서  몫을  계산하는  연산자는?,//
121,논리에서  연산  법칙  중  두  원소의  위치를  바꾸어도  결과가  같은  경우를  설명하는  법칙은?,교환법칙
122,"시스템의  하드웨어  및  응용  소프트를  관리하고  실행하기  위한  플랫폼  및  서비스를  제공하는  시스템  소프트웨어를  뭐라
고  하는가?",OS  또는  운영체제
123,프로그램  내에서  오류를  찾아내  제거하는  작업을  뭐라고  부르는가?,디버깅
124,전자기기들이  무선랜에  연결할  수  있는  기술로  2.4GHz  또는  5GHz  무선  대역을  사용한다.,와이파이
125,소프트웨어의  소스코드를  공개하여  무료로  이용할  수  있도록  한  것은?,오픈소스
126,속성이  정해지지  않았거나  빈  값을  나타내기  위한  표현은?,NULL  또는  널
127,"소프트웨어를  무단으로  수정하여  악용하거나,  정보를  훔쳐서  피해를  주는  행위를  무엇이라고  하는가?",크래킹
128,운영체제  중  가장  기본적인  컴퓨터의  입출력을  처리하는  소프트웨어  시스템은?,bios  또는  바이오스
129,실제로  존재하는  환경에  가상의  사물이나  정보를  합성하여  보여주는  컴퓨터  그래픽  기술?,증강현실  또는  AR
130,컴퓨터  네트워크에서  장치들이  서로를  인식하고  통신을  하기  위해  사용하는  특수한  번호?,IP  주소
131,여러  종류의  매체를  합쳐  여러  형식의  정보  콘텐츠와  정보처리를  사용하여  정보와  즐거움을  주는  것?,멀티미디어
132,인터넷을  기반으로  정보를  자신의  컴퓨터가  아닌  다른  컴퓨터로  처리하는  기술?,클라우드
133,산술  논리  장치의  영어  약어  표현은?,ALU
134,67을  2진수로  표현하면?,1000011
135,서로  다른  기종의  컴퓨터끼리  데이터를  송수신하기  위해  전송  형식이나  절차  등을  정한  통신  규약?,프로토콜
136,대량의  데이터로부터  가치를  추출하고  결과를  분석하는  기술?,빅데이터
137,이  코드  체계에서  각  문자는  8비트로  구성되고  256개의  문자를  나타낸다.  거의  표준으로  사용되는  문자  코드  체계는?,ASCII  또는  아스키  코드
138,4가지  비트  논리  연산을  모두  적으시오.,"AND,NOT,OR,XOR"
139,"기억  장치  중  가장  속도가  빠르고,  비용이  비싸며  용량이  적은  메모리는?",register  또는  레지스터
140,컴퓨터가  한번에  처리할  수  있는  명령  크기  단위를  (         )라고  한다.,워드  또는  word
141,플래시  메모리는  크게  NAND  타입과  (        )  타입이  있다.,NOR
142,"OO은  컴퓨터  내부  및  외부  장치들  간에  전송  경로를  의미하며,  데이터와  명령을  전달한다.",bus  또는  버스
143,"OO은  두  수의  합이  진법의  밑수(N)가  되게  하는  수를  의미하며,  음의  정수를  표현하기  위해  사용한다.",보수
144,OOO  또는  OOOOO은  각종  사물에  센서와  통신  기능을  내장하여  인터넷에  연결하는  기술이다.,IoT  또는  사물인터넷
145,"특정  하드웨어  장치에  포함된  소프트웨어로  소프트웨어를  읽어  실행하거나  수정하는  것도  가능한  장치를  뜻하는  소프
트웨어",firware  또는  펌웨어
146,컴퓨터가  판독할  수  있도록  고안된  굵기가  다른  흑백의  막대로  조합시킨  코드?,바코드
147,"공격자가  좀비  컴퓨터를  이용하여  공격  대상  컴퓨터나  네트워크에  과도하게  많은  데이터를  보내  시스템  기능을  저하  시
키는  공격?",Dos  또는  디도스
148,"다른  시스템에  정보를  전송하거나  조작하기  위한  경계면,  접점  또는  도구로  사용자가  기기를  쉽게  동작시키기  위한  시스
템",인터페이스
149,흑백  격자무늬  패턴으로  정보를  나타내는  이차원  바코드?,QR코드
150,"4차  산업혁명  시대의  원유  라고  불리우며  5V(Volume,  Variety,  Velocity,  Value,  Veracity)의  특징을  가진  것은",빅데이터
151,"프로그래밍에  집중한  유연한  개발  방식으로  상호작용,  소프트웨어,  협력,  변화  대응에  가치를  두는  기법은",애자일
152,데이터에  의미를  부여해  문제를  분석하고  해결해  나가는  사람들을  말하는  직업군은,데이터  사이언티스트
153,"사용자들의  장치와  가까운  데이터의  밑단부에서  컴퓨팅하는  기술을  일컫는  말로써  클라우드  컴퓨팅의  단점을  보완하는
기술은",엣지  컴퓨팅
154,사용자  생활환경  안에서  자연스럽게  요구사항을  인지해  필요한  서비스를  제공하며  인터페이스를  최소화  시키는  방식은,제로UI
155,LTE  속도와  비교했을  때  LTE를  지하철이라고  하면  이  방식은  고속전철로  비유할  수  있다.  이것은  무엇인가,5G
156,"규제를  뜻하는  regulation과  기술을  뜻하는  technology의  합성어로  금융  서비스  부문의  법규  준수와  규제를  해결하기
위한  기술은",레그테크
157,"개인정보  열람  요청  권리,  정정  요청  권리,  삭제  요청  권리  등이  포함된  규정으로  유럽의회에서  개인  정보보호를  강화하
기  위해  만든  통합  규정은",GDPR  (유럽일반개인정보보호법)
158,"작품을  기획하고  설명하는  큐레이터에서  파생된  서비스로  빅데이터  분석을  통해  기사,  컨텐츠  등을  개인  맞춤형으로  제
공하는  서비스는",큐레이션  서비스
159,생성적  적대  신경망을  뜻하며  상반된  목적을  가진  두  인공지능이  서로  경쟁하는  학습기법을  뜻하는  것은,GAN
160,"디자이너들이  생각하는  방식을  다른  분야에  적용한  것으로  사용자  중심  프로세스를  통해  복잡한  문제에  대한  해결  방법
을  도출하는  방법은",Design  Thinking(디자인  씽킹)
161,"사용자(비즈니스)의  의도에  따라  스스로  학습하고  적응하며  자동화할  뿐  아니라  보안위협까지도  방어해  보호할  수  있는
네트워크를  뜻하는  개념으로,  마치  사람과  같은  직관력을  갖고  판단해  동작하는  네트워크  라는  의미를  담은  개념은",Intent  Based  Network
162,"네트워크  기술에서  제어와  전송  부분을  분리하는  기술로  ‘개방성’과  ‘유연성’을  핵심  기술로  실제  네트워크  기능을  모두
SW가  통제하는  의미를  가진  네트워크는",SDN  (Software-Defined  Network)
163,"시간과  장소에  구애받지  않고  즐길  수  있는  스낵처럼  출퇴근  시간이나  점심시간  등  짧은  시간에  간편하게  문화생활을
즐기는  라이프  스타일  또는  문화  트렌드를  말하는  것으로  웹툰,  웹  소설과  웹  드라마가  대표적인  이것은",스낵  컬쳐
164,"미국  방위  산업체  ‘보스턴  다이내믹스(Boston  Dynamics)’가  만든  미래형  휴머노이드형  로봇이다.  2015년  로봇  경진대회
‘다르파(DARPA)  로보틱스  챌린지(DRC)’에  참가한  이후로  비약적인  발전을  거듭하여  인간과  매우  흡사한  형태로  발전한
로봇의  이름은",아틀라스
165,"1980년대부터  나타난  일종의  ‘사기  수법’으로  기업의  이메일  정보를  해킹,  거래처로  둔갑시킨  뒤  피해  대상  기업에  메일
을  보내  악성  코드를  감염시킨  후  업체가  지불  결제  방식을  바꾸도록  유도하여  거래  대금을  가로채는  범죄  수법을  일컫
는  해킹  방법은",스캠
166,"미국  라스베이거스에서  매년  1월에  개최되는  세계  최대  가전  전시회로  최신  가전제품과  기술을  읽을  수  있는  행사다.  스
마트홈,  웨어러블,  3D프린팅,  오디오,  자동차,  전자,  헬스  ·  바이오,  인터넷,  온라인  미디어,  로봇,  센서  등  거의  모든  종류
의  가전  및  관련  SW/HW  업체가  참가하는  행사는",CES  (Consumer  Electronics  Show)
167,"인터넷을  이용하지  못하는  오지까지  인터넷을  보급하기  위한  ‘구글’의  프로젝트로  .  전  세계  누구나  인터넷을  이용할  수
있도록  열기구와  같은  대형  풍선에  통신  장비를  달아  비행기가  다니는  고도  10km보다  높은  약  20km  상공에  띄워  지상 안테나  혹은  다른  풍선과  통신하며  지상에  인터넷  신호를  보내주는  무선  공유기의  역할을  담당하도록  하는  대형  프로젝
트의  이름은",프로젝트  룬(Project  Loon)
168,"미국  전기자동차업체  ‘테슬라(Tesla)  모터스’의  자동차에  탑재되는  시스템으로  전방  카메라와  레이더,  차량  둘레에  있는
12개  초음파  센서로  차량을  조종하고  속도를  조절하는  자율주행  시스템의  이름은",오토  파일럿  (Auto  Pilot)
169,"이  언어는  ‘애플’이  2014년  iOS와  OS  X  운영체계의  개발용으로  내놓은  프로그래밍  언어로  함수형과  객체형  언어  중간격
인,  스크립트  언어이기  때문에  컴파일이  필요  없으며,  오브젝티브  C에서  C언어  특성을  줄이고  객체지향  언어의  성격을
강화했다.  2015년  오픈  소스로  전환된  이  언어의  이름은",스위프트(Swift)
170,"미국  스타트업  ‘네버웨어(Neverware)’가  개발안  소프트웨어로,  구형  노트북에  ‘구글’의  최신  크롬  운영체계(OS)를  설치하
여  크롬북으로  만들어  주는  소프트웨어다.  '마이크로소프트’의  윈도우(Windows)가설치된  개인용  컴퓨터(PC)는  물론  ‘애
플’의  iOS를  쓰는  아이맥이나  맥북도  가능한  이  소프트웨어의  이름은",클라우드레디  소프트웨어(CloudReady SW)
